	nentry	muentry	sdentry	noincrease	betagrowth	betagrowth_se	alphagrowth	siggrowth	betaexit	beta2exit	alphaexit	nend	muend	sigend	nout	muout	sigout	nint	muint	sigint	
r1	  118.000000000	   31.998304949	    5.778524890	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.014719015	    0.220338975	   31.998304949	   92.000000000	   31.373260747	    5.295375808	   26.000000000	   34.209999818	    6.904874964	    0.000000000	 9999.000000000	 9999.000000000	
r1	    7.000000000	   30.270000185	    4.145222444	    0.021739130	   -0.008476052	    0.005294865	   -2.164162016	    0.456522468	   -0.015193991	    0.131313103	   33.597070713	   86.000000000	   34.131744207	    5.694766695	   13.000000000	   30.059999906	    2.622257346	   92.000000000	   33.850217384	    5.586329489	
r1	    3.000000000	   34.269999186	    1.385641527	    0.000000000	   -0.006562095	    0.005354888	   -1.471414674	    0.460888657	   -0.010565926	    0.067415717	   40.180674199	   83.000000000	   40.698072342	    6.736188981	    6.000000000	   33.023333232	    1.670564534	   86.000000000	   40.386860537	    6.818733518	
r1	    4.000000000	   37.832500935	    3.926325341	    0.000000000	   -0.005375220	    0.003873976	   -2.081316335	    0.368991193	    0.000000000	    0.045977011	   44.331379397	   83.000000000	   44.447469941	    7.262908932	    4.000000000	   41.922500610	    3.815034639	   83.000000000	   44.644578359	    7.131302251	
r1	    5.000000000	   41.804000092	    3.820986357	    0.000000000	   -0.005532828	    0.002922152	   -1.815549619	    0.287254531	    0.000000000	    0.034090909	   49.195454511	   85.000000000	   49.073411740	    7.707268121	    3.000000000	   52.653333028	   14.698648795	   83.000000000	   49.640722849	    7.894873444	
r1	    2.000000000	   44.674999237	    0.657609522	    0.000000000	    0.001221636	    0.004941903	   -2.965166266	    0.500573084	    0.000000000	    0.022988506	   51.990229946	   85.000000000	   51.982117687	    8.395042829	    2.000000000	   52.335000992	    0.388908190	   85.000000000	   52.162353022	    8.316982905	
r1	    2.000000000	   45.795000076	    5.692209049	    0.000000000	    0.000920926	    0.003741883	   -2.614470872	    0.400707277	   -0.003166732	    0.068965521	   56.135747142	   81.000000000	   56.419876617	    9.281721987	    6.000000000	   52.299999237	    7.493170504	   85.000000000	   56.379058838	    9.139324072	
r1	    3.000000000	   44.143333435	    4.864836376	    0.000000000	    0.001636997	    0.005300856	   -3.546416914	    0.594922927	   -0.000912121	    0.071428571	   58.116904713	   78.000000000	   58.212435796	    9.399762885	    6.000000000	   56.875000636	   16.468135845	   81.000000000	   58.634444390	    9.691832298	
r1	    2.000000000	   44.300001144	    3.549676365	    0.000000000	    0.005870983	    0.004759763	   -3.667984386	    0.517261159	    0.000000000	    0.012500000	   60.464249945	   79.000000000	   60.570126546	   10.275078320	    1.000000000	   52.099998474	    0.000000000	   78.000000000	   60.878717863	   10.037142298	
r1	    0.000000000	    0.000000000	    0.000000000	    0.075949367	   -0.001972648	    0.004022164	   -2.755271787	    0.446446805	   -0.005512502	    0.088607597	   63.978607516	   72.000000000	   64.720416599	   11.159842321	    7.000000000	   56.348571232	    8.157835588	   79.000000000	   63.978607516	   11.145271390	
